Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1983,The Right Stuff,16.981,652,Popular,History
1958,A Night to Remember,16.977,175,Popular,Drama
1958,A Night to Remember,16.977,175,Popular,Action
1958,A Night to Remember,16.977,175,Popular,History
2008,Killshot,16.975,206,not_popular,Crime
2008,Killshot,16.975,206,not_popular,Drama
2008,Killshot,16.975,206,not_popular,Thriller
2007,Lake Placid 2,16.972,152,not_popular,Horror
2007,Lake Placid 2,16.972,152,not_popular,Science Fiction
2021,Shiva Baby,16.971,236,Popular,Comedy
2021,Shiva Baby,16.971,236,Popular,Drama
1987,A Nightmare on Elm Street 3: Dream Warriors,16.97,1287,Average,Horror
1987,A Nightmare on Elm Street 3: Dream Warriors,16.97,1287,Average,Thriller
2016,Bad Cat,16.969,121,Average,Comedy
2016,Bad Cat,16.969,121,Average,Animation
2016,Bad Cat,16.969,121,Average,Action
2006,Cold Prey,16.966,292,below_avg,Horror
2006,Cold Prey,16.966,292,below_avg,Mystery
2006,Cold Prey,16.966,292,below_avg,Thriller
2017,A Fantastic Woman,16.964,546,Average,Drama
1992,Naked Killer,16.962,36,not_popular,Action
1992,Naked Killer,16.962,36,not_popular,Crime
1992,Naked Killer,16.962,36,not_popular,Romance
2006,Shark Bait,16.962,194,not_popular,Animation
2006,Shark Bait,16.962,194,not_popular,Family
1979,Meatballs,16.96,214,not_popular,Comedy
1943,For Whom the Bell Tolls,16.957,132,Average,Drama
1943,For Whom the Bell Tolls,16.957,132,Average,History
1943,For Whom the Bell Tolls,16.957,132,Average,Romance
1943,For Whom the Bell Tolls,16.957,132,Average,Thriller
1943,For Whom the Bell Tolls,16.957,132,Average,Adventure
1943,For Whom the Bell Tolls,16.957,132,Average,War
2018,When We First Met,16.952,2024,Average,Comedy
2018,When We First Met,16.952,2024,Average,Romance
2018,When We First Met,16.952,2024,Average,Fantasy
2009,Santa Buddies,16.949,173,not_popular,Family
2009,Santa Buddies,16.949,173,not_popular,Adventure
2006,Letters from Iwo Jima,16.948,1570,Popular,Action
2006,Letters from Iwo Jima,16.948,1570,Popular,Drama
2006,Letters from Iwo Jima,16.948,1570,Popular,War
2018,Cucuy: The Boogeyman,16.944,68,Average,Thriller
2009,Sex Pot,16.943,37,not_popular,Comedy
2010,Secretariat,16.941,450,Popular,Drama
2015,Chronicles of the Ghostly Tribe,16.94,106,not_popular,Adventure
2015,Chronicles of the Ghostly Tribe,16.94,106,not_popular,Action
2015,Chronicles of the Ghostly Tribe,16.94,106,not_popular,Thriller
2006,Dr. Dolittle 3,16.94,361,not_popular,Comedy
2006,Dr. Dolittle 3,16.94,361,not_popular,Family
2006,Dr. Dolittle 3,16.94,361,not_popular,Fantasy
2009,Hulk vs. Thor,16.939,170,Average,Action
2009,Hulk vs. Thor,16.939,170,Average,Animation
2009,Hulk vs. Thor,16.939,170,Average,Fantasy
2009,Hulk vs. Thor,16.939,170,Average,Science Fiction
2006,Take the Lead,16.939,580,Average,Comedy
2006,Take the Lead,16.939,580,Average,Music
2006,Take the Lead,16.939,580,Average,Drama
1976,The Message,16.938,251,Popular,Adventure
1976,The Message,16.938,251,Popular,Drama
